id,natoms,value_per_atom,value
PN_DA5KWFWRY56UW5X5IYPHBPYPGMR3CZ74,2,-0.043519588,-0.087039176
PN_EWTN26GJLZDHDSKTFSWKVODOTAD53FNC,3,-0.07166436,-0.214993079
PN_7OK5LOXD2EVBBJSDCRHTBHTOHWNOWQBT,4,0.733092124,2.932368497
PN_74BESOX5EESGF7OLOEBDAHP6PRKYI33C,4,-0.062292735,-0.24917094
PN_5TU7DSBSATW2VC7OZB22VUR56BLU3YBZ,6,0.088594538,0.531567227
PN_XPOD4KTSHMVOOVTQZMVSMOC6IVFBY2MD,8,0.240656504,1.925252029
PN_XJ2TGJCAL3I2TTPCECVAVMJFK6N43O3J,24,0.721911912,17.32588588
PN_VAKH7Y52CVZMZLIYJFKVUUUN33SDMLJV,4,-0.438555839,-1.754223357
PN_DWND5PDFWM2E3Z343EDYCHZG5TSCGZXE,6,0.534923391,3.209540346
PN_UJ3M4AGVBELB56DEP6CXCSCYSO7IZ5MP,2,0.0437964,0.087592799
PN_4VLKCETUU2E4YCU5YU6AA57JYGVF3PR2,8,-0.243660762,-1.949286099
PN_M6FDLKYCXMVA5DZ6T5TTZIXFLTJPYCGI,4,0.82902034,3.316081361
PN_KGPJHKEKKP3DGNDXVUXCIELBQJJ5ANLF,2,-5.420664132,-10.84132826
PN_PYZTDELXMWTPCZVA3CH7VLUGKIMSAVNH,3,-0.253450184,-0.760350551
PN_K4BGSTQUUF5ICOFOBFFHUWCNLYHJYXQX,6,-0.050740709,-0.304444254
PN_PENMMXUKXDA7XNHPBFMCJDUPVII3SVBG,2,-0.185643663,-0.371287326
PN_YSY73KI2Q6RPPOUMGAYRN6PDN3DV7DWU,4,0.269064418,1.076257673
PN_SEPVMJDSUO62POZ4QIQGWZ5BS4WR5TT2,2,0.064525805,0.12905161
PN_3VQ7FD73VPTPUZWSDY5F6WN7F6IRZMUM,3,0.014869236,0.044607708
PN_C7ATFFTHIWZOKRV2I3ZGTRHYQGE2YH6X,4,0.744648181,2.978592723
PN_K3S6UVW7GGZMG47SDGOKUKGRGHKKJMD3,8,-0.003934008,-0.031472065
PN_3OQW5NSGCNBTCY77UTLB4BG2ZO444R6U,6,0.004820987,0.02892592
PN_M3ZOOXQLP6KHEOR46QORU2WTSAEXHEKA,2,-0.128148549,-0.256297097
PN_NUHGNF2PFSE2MYNMVS34LN3L45BT45XK,4,0.04835343,0.193413722
PN_UHPM6QXFQ7RQY5BIDBKACJUHS6LDFA6K,4,0.788511995,3.154047982
PN_4DZ7RY2GD5UEY2V2QSKVE5PYLE6Q5EGX,2,-0.053819013,-0.107638026
PN_4IRQV7WEWJHHQHANF7EFXXIXCJZWNDQD,4,-0.424183607,-1.696734426
PN_SEKPCJOA45DIXAR4MKCW6XANL4VAFWHR,8,0.002862538,0.022900307
PN_6TX4WG7BQFKUWSDM7GIXNUK4TR2JUDJE,8,-0.324485913,-2.595887303
PN_JFVMRZTAXRNXZUJTNE6WBGH2BIRM6MG7,3,-0.002578556,-0.007735668
PN_EE7PEUW4EIAQWXS6M2ORPB7QAUJ5MG7E,2,-1.345005036,-2.690010073
PN_OHZHNWYGDAWNHY4TK6J6TTS2BWN3H2TJ,9,-0.052167407,-0.469506666
PN_HRBRPIO6UOCS723ASHNAZRCMVEJCKDD2,2,-0.23992756,-0.47985512
PN_V2ICZY3YPVDQPW62ESPCCRB3XTAHXRUU,5,-0.047531758,-0.237658789
PN_EGYLZVKSCIBORBQLVEKOL3BRKOD33CRQ,6,0.177052125,1.06231275
PN_TCDWC7R2Y3I7UZ2F3KBOMZMI2QZW6NFO,8,0.034104802,0.272838418
PN_2BWJ37JX6WFS353M7ACEPIPI6ITRVBZF,9,0.005084912,0.045764209
PN_WJDJOSUEZ2DHGZDFEQJWSISE45RHH4QK,3,0.430459223,1.29137767
PN_EOXTBO736OHRQDRLIOM46ZDPZCLILICE,8,0.093478748,0.747829986
PN_BT3XKONDU32GT5A2AAAUOWYWQUVMNMCZ,3,-0.000429589,-0.001288766
PN_4SITFBODIZ5K5NNQWQKYPQY5QUE3FJYC,2,0.348514806,0.697029613
PN_NNVM5LOESBKSXLK4IPSAZR4TWLGLV6BF,3,0.12095546,0.362866379
PN_6YG2BVDKAJ2VE4WEISI5Z5TERXY6U6N3,4,-0.058220844,-0.232883376
PN_ZJQ6SRZC7FIWMJROTHNT4V7KQL7RQF3R,4,0.296005988,1.18402395
PN_O6IO2OWDPOSEE5XT44L6LBXURSPKFUQE,4,-0.009435697,-0.037742788
PN_MXWD7IDMW3LUHSWFCZJUTAZCCG2I2ZZU,4,-0.116855551,-0.467422202
PN_JO3ZQX7RV5MCCNPWE7WYPQLXZVNKJW7U,2,-0.064690353,-0.129380706
PN_MM5CRCBJP5ZA23AJZTB7AH2PLKKLH5DK,4,0.570992233,2.283968931
PN_UJ5PPH2GPE7U6QBWPWTYOAJUL4ZI4TF4,2,-0.371041092,-0.742082184
PN_RDZJLZN5XY4V4VMDWZMLRQVJBPIRWIXB,2,-0.014641019,-0.029282039
PN_ZKW5JJFDIZZHWHMWD3QXGU5EN75Q4FH4,4,-0.741190181,-2.964760725
PN_FI7KREUZJ2MA7HS3GT2AWM222PSWN2L5,4,0.086410214,0.345640854
PN_JTCZAHHV4V32SQLX2ZPQOXSIMVKMO35A,4,0.185368799,0.741475194
PN_DO2C3NJ47ORSHA2REQ3WZJ7TUA7NXHL6,4,-0.038536866,-0.154147464
PN_KKKYHJI7BWXXKPIBAKLXP4SIIHYKGGDA,4,0.438685245,1.754740978
PN_IRBO3ZKFSNX46WXZLM3JXKINWAGP7BTV,4,-0.747102864,-2.988411455
PN_JGSSLQFKN6EAPETSAPWORLCLL76YIPGE,4,0.180912211,0.723648844
PN_P7DX7YOTRDNTIWPAPGXTSCMY63AMSJT6,4,0.053784405,0.21513762
PN_JDTBPLWAKSHPZCUMYA7SRSACWXRBC34L,4,0.207531287,0.830125148
PN_XGP447VAMRJYO6TZYNPGJESOADBT2AA5,3,0.984338414,2.953015241
PN_ZSFNG5SINZLBCIMEYAWUCM4B2PDWNM7Z,3,-0.1852068,-0.555620399
PN_BOSKGYSCUHQKSJNWTFYOK5K2MMWRXA4I,4,0.070315005,0.281260021
PN_AF4HCK647GECJ3MQJMENFPU42LEEUGCT,2,-5.544304573,-11.08860915
PN_NUJVWLE4DMYZW3RPMTYHMOJRSMWRQTNJ,4,0.202669307,0.810677229
PN_SJ24RIYQIXJKRAXVPAFUKI6YETIJO3KX,4,0.406788313,1.627153254
PN_2JBZAFIY6PVJF4GW6JZJP4USGXKPSYD7,4,-0.151080387,-0.604321549
PN_DHGWRWQCRSRT6HJPZ3HXUIX5ZQD6TC3F,5,0.647804097,3.239020485
PN_MW5PFOZOZ2EISNMJOAD2WBTBGZTV4NV6,4,-0.015206493,-0.060825974
PN_Z66ZGZRPI7S3VEHD6KW22AOMWBWZLG7R,4,-0.261915919,-1.047663677
PN_VX3WL3B7IFKYMJITQSP2KJS7D3AEESCO,2,-0.111736593,-0.223473186
PN_IJDP7XMMRVSEYGR4ZSCHUIQHUEXNMTII,4,0.072308049,0.289232198
PN_DU4B4J3UFOQNGOEQ7GW6HI6JRUO2URSI,3,-0.046456234,-0.139368701
PN_MXR74Y4EFWIWRM6PJ4FFYARGZXNUE2GM,4,-0.59158356,-2.366334239
PN_EMYLYQFFXXTTW4SR6VBQTSYUJXCAF7RF,3,0.203863802,0.611591406
PN_JUTJ42ZUC2D3AZXGQK4NJZK6BQBHAZPP,2,2.666075834,5.332151667
PN_M2Y5C72IJCYVXTR2Q5WLOGBVJHAFASEY,2,-0.126183099,-0.252366198
PN_DFKVVZHJZRYK2Y7NR5DE6LCNGFUQKNHG,24,0.325100667,7.802416
PN_F5Z36MMWAFWNAGU5Q4S6MSHP4R6W7FM4,24,0.159138811,3.819331456
PN_QQ3N5AWHY3S44I3B7OIAGFEBGCZBY5WI,3,-0.109468763,-0.328406289
PN_OZPSOREXWTFWJF6NWOW2PRMLBBLZTTGN,2,0.518168747,1.036337494
PN_JCPVKW2IEAITM2MW5LATXTRXKGJN3QOH,4,0.386896201,1.547584806
PN_OP6WJI7DLYJXX722DLC2W2YR3LKK4M2B,20,-0.598300879,-11.96601758
PN_T5QCM3CRPSYSOSFAYX6VIXRK73C62TYY,6,0.550279415,3.301676493
PN_QP5WREFA2ZXKTTEWDWT46OKDUADSFH7E,6,0.268874458,1.61324675
PN_EDOGMLVLDSVQPGO4KCFVH4CGJSP2H4NY,6,0.188681586,1.132089517
PN_IZ7KT6PNFUXKIYQEW4FQD7EMH7WMQ43V,2,-0.274718791,-0.549437583
PN_S43EOX5NVS5UG5J3DXC6OBKTKMXIHLPA,2,0.282707785,0.565415569
PN_I23V3YLRHWGMLKHYBYUFDJXMRGAOVBVL,2,-0.126684364,-0.253368727
PN_UUMJQIWFOARGBNSNXJ6RO7VLFFSX74JS,6,-0.141899587,-0.851397521
PN_X3JMVQMFOXYY7QK6PAIDJLQIBHNJTPIT,6,0.007176199,0.043057196
PN_4C7UMBNBA5FPBSD2DRT55KYIY55TGOVJ,20,-0.113043618,-2.260872365
PN_2AXMLNONPGFVR5HIEJDV6E6Z54VLMS4F,12,-0.337948904,-4.055386851
PN_DMGLDTAIWZDXG5KZ45QJMR6QNECXO3VF,10,-0.119687437,-1.196874373
PN_ACOERWZXNJXCWDV6EUOHXCXSWG6EE34K,4,0.230515672,0.922062687
PN_D7GFFWY2QJPFPJ7KQF5ZPI2CUKCJKOXJ,6,0.119694712,0.718168273
PN_ZFBTUDQICPIVUDGZMATMFVIV6TB5W7IT,2,-0.449748252,-0.899496504
PN_4W7GFHEFMXOYSZGRPQHQMI7RMCL727QY,6,0.454729311,2.728375863
PN_7MUHAUAXCLR3QQFK7TEBHK7ZUN6NGSAF,2,-0.802310246,-1.604620491
PN_GMSO2NMWQQRQCF5G33G23GDGPHLMPREP,20,-0.447257861,-8.945157225
PN_63QJ5DC6KXBMF34SOJCE4FAMSMGRRS6H,4,-0.41421377,-1.65685508
PN_C3MIGWY3MZPJQSLE6LH5PXM6DZKGDSZC,5,-0.012359346,-0.06179673
PN_DP75ONI2HVJQM6CCJQWLX4ETTOFHMOCS,12,0.929034628,11.14841554
PN_GMWCS44CNDYJYYDCBITCSW55JQAOX7NJ,2,1.051903901,2.103807802
PN_WEZDDCMMDFDHBCKZ7AXULRT35CZOSSWE,28,0.26773963,7.496709637
PN_75KRHOQ4JI4BKVEIHGMQPAXGEYDIBU2F,2,1.709790453,3.419580906
PN_ZD4B6XB3ZXTWLFTD5QMH55TWDNLCF3UD,3,0.067974013,0.203922038
PN_5DDEEXF4PP65WYSWECRTHVATSTUXEOPC,2,-0.84826529,-1.69653058
PN_MRCRXNOPUADNP5QR22NMCJEVSE2KNSUK,6,0.255877888,1.535267327
PN_HLSJV4L4U2AVXDTPX7BTPSOZ4ZFCS4NP,8,0.295224809,2.361798473
PN_DUOQXM3E5NAY6FUJYDRGBYQ2RCXKEQOZ,4,-0.296774543,-1.187098174
PN_5FSGWNMPQI6EEBU42VNN4KNLZ4SEIOYF,4,-0.361870883,-1.447483533
PN_XN5VVHL2MCA2I35JHDO5EKEXXM4JMERR,4,0.142732757,0.570931028
PN_POTRFAMG6GTSNXFN7EYC4XDPBWSAKPY7,16,0.396205541,6.339288657
PN_AVAZYIE2BONW2FFUSETDCGOBX5HXFUZX,7,0.00396279,0.027739532
PN_IVDJZEPYRCROXSPBHMTGTUWTEXBFE7HN,6,0.188578688,1.131472129
PN_54PSBHAX3FMGUHTV2MPDW6XCGH3EUSTW,2,0.243313087,0.486626175
PN_RVR72LMKK2E3RTCNS3VVT3725YOP7S6S,4,-0.457916062,-1.831664248
PN_KNS2NNAW44XKX2GHSX6Q5FEKVAUVJNMM,6,0.639507356,3.837044139
PN_MLL6CQJZUYY3MD3CFWNF7KCPK33RXDN6,4,0.088182167,0.352728667
PN_76GLW4NVWQLA3ELMPG52USIZ2YMOXI2X,4,0.212661954,0.850647817
PN_YOFSOM6TVJBQCJDNK534S2HPVRJYUC4W,4,0.075600315,0.302401261
PN_DP7QUQS2C6L3NZ4BAKZTQ5SWFSAWK3ZX,3,-0.105489843,-0.31646953
PN_RRYGGYFNJRRORFSOPOIPK7HOQUIUQVKL,6,0.033912082,0.203472493
PN_ILMZ4V6A56G73P2GY4XPTES3AOPNWEYQ,4,0.100317787,0.401271149
PN_Y2NQY5IMLWZK76RWCVBPXHIPJXBRSBKZ,24,0.221736443,5.321674643
PN_RWE5HACFGCTE4PAYYG634GOMX6JPWYNC,4,0.078623831,0.314495325
PN_P75WWUSGW6VKKJPWNRGU2IWYOANUCDNS,3,-0.109572504,-0.328717513
PN_X3M2XYNV2SSYP7OV4IA52D53DJGBYR46,10,-0.113810138,-1.13810138
PN_ES6VPDLHK4EPC6YMFUANORH5D35SNMW6,2,0.796849426,1.593698852
PN_SAGBJXLKAH4YHH3DOZDBY34N5Q5XXQU2,3,0.662151924,1.986455772
PN_W2DPJEVMHLJ3NJKWKSEDZFH6S3HQ2YUB,8,-0.030999434,-0.247995475
PN_RXMUJQA2RGZT6VHPQO5U3IGBXAQR4U5R,4,0.016682753,0.066731013
PN_KK27IRYRITAVZILOTTZDSB5ORG3ZCUQW,4,-0.078077156,-0.312308623
PN_4VHDJCXN4UFDGUP7ULXZ7G3IXDG2FRJF,4,0.738265509,2.953062035
PN_3GV7VW653T36GUPMPFQC4UCXC6DAUXHY,3,3.227606367,9.682819102
PN_WQUROC2F7WKLAAHOXNGVFZPQHKLGVZGH,3,-0.69918173,-2.097545189
PN_MYA67SYVLF33IC25TSG6ITLBPEWCR6CO,4,0.064323439,0.257293756
PN_IME2XQZBJBVN3Z6UFDXY5VSTAY4E7HDZ,2,1.597482325,3.19496465
PN_W3XENMWD4MMQHMI5KOBYUSH65LFGKPWY,8,0.103214298,0.825714381
PN_N3SIICLSOHRZCJ6HOML6R2BYWAHTSVUW,4,0.637788747,2.551154988
PN_GC2WMLPGOYJWLGBPFJYOGMSL375PV4OW,4,0.614287908,2.457151632
PN_SKHM5GJ7UKAMMNED3IB2MQTIRNSIRPBC,4,0.054281179,0.217124717
PN_5DPUFCSTA5EXJSJRKAHT3A44VYPG3NIH,8,0.045988801,0.367910406
PN_EJIQRZTP46KBVUGT2ZHJ6VGXDTQQNBKI,4,0.101735269,0.406941075
PN_FJMIEODWCCNQRERJY7SUK7G32KDXLJZD,2,-0.322200488,-0.644400976
PN_JS3B2UKXPA2H75YW4JGDYQAKTGW7HTBZ,3,0.640637899,1.921913696
PN_PKD72ORQ5HN3A2ELKP4NMAPWEEYCT4FK,2,0.999338122,1.998676243
PN_KVE5IQUFX2URGU5NRKRVQW7ERBL6UZPB,5,1.585571365,7.927856826
PN_TUCJ45ZXGIRPKJK4CPTSMEQEJPW6DXZ4,4,-0.020382561,-0.081530242
PN_NYRCAN6WI6TTDBQRW6UFXDEUTFJOKD2T,12,-0.886598808,-10.63918569
PN_L32GE4KA4VWOAMANPPTOWMP6WDAJVWQC,24,0.257053702,6.169288837
PN_FQPTMANX5CYXR5VRVQHNA6ZUBVTQFQE3,24,0.219826695,5.275840688
PN_RL3GIFLS7OKF7IVGUOKN3CYTM2KKJXMK,12,-0.032674268,-0.392091216
PN_EMW6SAPEKQPERKRT5RSFMMJDXUZL7QAR,16,0.214126777,3.42602843
PN_B6BAUKJ74MTNEJ2VXKMZGFTRCD4FD6IU,12,-0.086138347,-1.033660166
PN_2EGNJJ6BLZLUK4HYAM5QVTQ74FYEXRUX,3,3.021478292,9.064434877
PN_5B7TIUUURPIP4AJBUALI76C54YPEQJEE,2,2.392753487,4.785506974
PN_PY25GNMWPJTMDDZHHPZCZS7KXPXOLJZM,2,0.778620563,1.557241125
PN_VZ3LF46SOZLBDZQ4VBAIQK5MBZ75X4DO,4,0.017588588,0.070354353
PN_NIQJABUVRJ3EYLADM352IF6UYOD4LFBN,4,-0.054621946,-0.218487784
PN_36L2TA3KYQVDSUR5C6UXSMJ4VMF6LWOM,4,-0.136140582,-0.544562329
PN_ZL26DU25EZKXKJESKQYBGTBO3YKVSQ32,7,0.021602266,0.151215864
PN_TFBPMDXIXODA4EJMSYYCPAUBS7KKICIK,30,0.334669812,10.04009437
PN_L6Z4J3WSGFYA4X2GVYG2EZZYAURB6SAD,4,-0.06999138,-0.279965519
PN_PCPQ226NCNJOOK5WFBUZPNYYQIO7NCKH,2,0.676550785,1.35310157
PN_C6O6VUUC25ZJ62TJO6L2NUNWRTCJ6CGO,2,0.163268241,0.326536482
PN_SRHAJVG4272PNJZ3DK3YZWSA5ZCE4OC2,24,0.208434471,5.002427305
PN_V7OCKVGIVVFEZY725QSA3YKYDYNSEMUI,2,0.55219771,1.104395419
PN_FDRDNSV63RN3BY4UDCA4WIECYZHO3CBH,6,-0.174619539,-1.047717232
PN_NDOHCEJS4VVDT23GQJOA3COSFLA4XVUE,4,0.190617428,0.762469713
PN_V52OOQJUFCAYDQN2GBTHTAFF3DBGPBI5,2,0.676145313,1.352290626
PN_L5YIGIBT2JQZY2STD6ZYZNTUPUKX5DCA,3,0.192763881,0.578291642
PN_W6KEQPOSXWEHHY7O2OOVZ33ZRBXD5FGM,9,0.043413251,0.39071926
PN_3RA7VYAN2I6KL65DE3DDY4FW7ZLH7SP6,9,0.284649276,2.561843486
PN_IZJ6EULQZNCUS5RBEBGLZM7LXMEOCIL5,7,-0.004772108,-0.033404757
PN_MEDMX4GVLVUNT74QC52B6AU5TNTGCDBU,6,0.03737868,0.224272079
PN_GBR4FNVCXYXLPWYGJ3DAWWE6D36MGCP3,9,0.215390972,1.938518752
PN_5D6BKZF5KA7ZFWW726ZJASXP2QLPG6N3,8,0.417827848,3.342622783
PN_OW7X2YY3ZUK5TRADGJRZVOOLQMGTETGW,3,1.761786482,5.285359447
PN_KZ5MQFTRCQPU45DT24T4FEVS3NQ4LBOL,30,-0.188219433,-5.646582997
PN_NYQKLOC54NJTHVSGQGJVCEIH2VTJ4YP6,8,0.018315275,0.146522204
PN_I25QXPGIR6B7IGZEKBXTNSP4UUVIBHBJ,6,-0.791713554,-4.750281324
PN_Y3ONY4RTPPZKLZ5INOC7YS6QIGFNZUQK,6,0.459631521,2.757789127
PN_ZLXUNX4IJEEQHWSDZ7YNIGD7YNWMB3V5,6,0.231037928,1.386227565
PN_OQMWB2ODZXJ4XQX2IACYIXEH66UARW5S,4,0.40284211,1.61136844
PN_43SBUUQNFCJSDP4IX2W6WBXHSGPKFXAA,4,0.041343169,0.165372676
PN_AX7GXWLEXB3VAOXS6P7XQBLJNU2EDJFY,12,-0.11853956,-1.422474716
PN_KFALTKE4PPMJEAYEI23HSJCM2R2PFP2Z,4,0.331554869,1.326219476
PN_OSPMTJIZUZPEG3UFN2SSO45ATPNBHNRV,4,-0.107039471,-0.428157884
PN_BVRAK34TB3RZMBWHQ6C33NV6J7ZCO2UK,12,-0.0259394,-0.311272801
PN_3Q47BPULJCAOXHDAPQ2D4ATI5MIGFITX,6,0.003814742,0.02288845
PN_QPXANB2ULQCYUZXSSNNKOVBE5K4OJ3WS,4,0.508187479,2.032749916
PN_N7IFNJI2A63GHYN2BTEXBVZS4OQQZD3D,6,0.4517394,2.710436402
PN_7HOZWWVNY3OQDOSRCMC4V3ANU2UG7F6G,4,0.0383983,0.1535932
PN_DI2HUKKNNCV4S2Q4VYGHDIX5DRYUTN4H,20,0.222682512,4.453650234
PN_OQP4XHY3KPOTRZ4CQKXLCT5RSBVIEMMP,8,0.156305875,1.250446996
PN_53ASSQKY7E3KNFMYCHLWSJ4JPPINY4LF,2,0.500636166,1.001272331
PN_6Y7BKEFCUQ6U7CHLJJXRKXR7M7RK4V4F,2,2.507036735,5.014073471
PN_LQQ3TM3XSQACXZLGFHC5F5LHYETDFWLQ,8,0.331811389,2.654491112
PN_J4CQHTLLQPHOC4ER5WG3SWJULUSHHA5A,4,0.478601824,1.914407296
PN_CU4DRQKXMRILYOHYTDB4LS3R3FRQECDN,6,0.166869269,1.001215614
PN_RCJGMJGSR2KW2WDRKQI5FYDQVZCOGVAU,3,-0.637019061,-1.911057182
PN_GV5UQ357CDVXP36GUUZDYLPMPO4O2C3M,2,0.640236364,1.280472728
PN_SRNRA46EPVFCPUY2OPEAU6TMWTAHOQRF,6,1.215461911,7.292771467
PN_AQR7ZWFA5DSOPBKLV5H7L4M6AWCG3XHH,12,-0.117224633,-1.406695595
PN_DFNJ3X36ZEUP4QGAHLHK7ZBA7HYCVQ4P,24,-0.080712478,-1.93709946
PN_6MQTEJN6BL22OUP6WRB4Y2QUMPBMJN6L,4,0.551007657,2.204030627
PN_7CE4HFT4VSHIIJE5LZUW53DHPLGONCDE,4,0.597629678,2.390518711
PN_L7X77YDUYHTMYYZ6V2AXE7OAAYSVDQNL,2,1.156897034,2.313794067
PN_7ZIQWQJX2WPY4EVOIN5ANGGMIB2XDGDP,7,0.229708248,1.607957734
PN_YCSCOOYAAN2G6Q4OKZEJLIWQZJAFWLRI,3,-0.64936153,-1.948084589
PN_D6WTB4LXKNII5S5KFXMYYSQPMJJQKDY5,4,0.594608018,2.378432071
PN_GNXTACQX6EYRIES4VN3CBAJTJ7JFOYUO,2,1.783717347,3.567434694
PN_U3TT6SL76K4ULJ5YEYO24OCTOZ6537KG,2,0.412293472,0.824586945
PN_FOZ7J65Q6RWQWPE6TGET73AI3IU2XWZA,6,0.146911293,0.881467756
PN_UTANMQVCYCJVJAHDBQ7X7CMJHWLYUU7Q,4,-0.160004924,-0.640019697
PN_ZZW42CKYRJQF4NPB7R46CXEJVSGAQ6N7,2,1.252480081,2.504960162
PN_KV5FCHC5ZVSABTSKZKXLEIOXBU76YLEF,4,1.127116444,4.508465775
PN_GBQ6MUKSZXOXP3YN5BIJWWBHJUJIVTKA,4,-1.469235846,-5.876943384
PN_NAK5JBN4TB4IXIDAR6XBZ5W47PNY4GRR,4,1.224709304,4.898837217
PN_F7BB72PGHMNV2BGQBBSDPFT6HMMGA3MH,5,0.722891464,3.61445732
PN_HHVVD7LS5PSJW2TPYSZJUHY43UMTRW4J,30,-0.21555098,-6.466529414
PN_DHXVAWNSVWUQTFBGECAHAKITOCURQCNI,8,-0.017124273,-0.136994184
PN_PTYKQRAI5UQUWY3M6PMG2HO5XVGAOTV4,8,0.651023819,5.20819055
PN_ECEBG6XAQKBBTOFX5MNSL4NB4PBPVQBE,3,0.311124676,0.933374029
PN_DP4R26JFYHWXMNNFQO3HQIIHQ7THYXVF,4,0.531405615,2.12562246
PN_JE75VBFLQCDA2DCNI3VA5R6LRFAMQU4L,2,2.234140737,4.468281475
PN_JCUKX3APVEYVYANHYPMFWVKTBEH5ZWUV,3,-0.340027223,-1.020081668
PN_CKC3OTI45BQCZCW6FUWWGDZW5Y6MOCQH,4,0.50712515,2.028500599
PN_BENDWR22XSV65UC5BTLE7YI6ATQDMI5M,4,-0.69441994,-2.777679761
PN_2N2HPPBGGNTF3V5F37MDMSYRX5NPMA4N,2,-1.850280312,-3.700560624
PN_SZSGHQHNNBNT7RRJGS6AKPNJYURF6XIR,8,0.237876521,1.90301217
PN_OJ7LHTCHFVKKOQ622BTQRQVNAO34DZBA,6,0.117154429,0.702926574
PN_OEVO53EFPANXQ3JJQZ7IPLIBEZC57Z6C,4,-0.016972572,-0.067890289
PN_76KNEVHG76UOS4G77DVVRZASL743YGI5,16,0.13736798,2.197887681
PN_6BQNZPZ4PARC7NPOITWGATYUVQEMAS4N,6,0.167998206,1.007989237
